date,high_T,low_T,skycon,skycon2
2016/2/10,20,7,partly_cloudy_day,cloudy
2016/2/11,18,11,rain,rain
2016/2/12,18,11,rain,rain
2016/2/13,14,1,rain,rain
2016/2/14,6,-3,cloudy,cloudy
2016/2/15,7,-2,clear_day,clear_day
2016/2/16,10,0,clear_day,clear_day
2016/2/17,12,2,partly_cloudy_day,cloudy
2016/2/18,16,3,clear_day,clear_day
2016/2/19,13,3,cloudy,cloudy
2016/2/20,11,-1,partly_cloudy_day,cloudy
2016/2/21,10,2,cloudy,cloudy
2016/2/22,7,4,rain,rain
2016/2/23,11,1,cloudy,cloudy
2016/2/24,9,0,clear_day,clear_day
2016/2/25,12,2,partly_cloudy_day,cloudy
2016/2/26,17,4,partly_cloudy_day,cloudy
2016/2/27,19,8,clear_day,clear_day
2016/2/28,17,2,cloudy,cloudy
2016/2/29,10,-1,clear_day,clear_day
2016/3/1,13,1,clear_day,clear_day
2016/3/2,16,7,partly_cloudy_day,cloudy
2016/3/3,16,9,rain,rain
2016/3/4,19,12,rain,rain
2016/3/5,21,11,cloudy,cloudy
2016/3/6,19,10,partly_cloudy_day,cloudy
2016/3/7,16,6,partly_cloudy_day,cloudy
2016/3/8,9,1,rain,rain
2016/3/9,7,1,cloudy,cloudy
2016/3/10,8,-1,partly_cloudy_day,cloudy
2016/3/11,11,1,partly_cloudy_day,cloudy
2016/3/12,13,4,rain,rain
2016/3/13,11,4,cloudy,cloudy
2016/3/14,13,3,partly_cloudy_day,cloudy
2016/3/15,14,4,partly_cloudy_day,cloudy
2016/3/16,18,6,partly_cloudy_day,cloudy
2016/3/17,15,9,rain,rain
2016/3/18,18,11,cloudy,cloudy
2016/3/19,19,7,partly_cloudy_day,cloudy
2016/3/20,17,6,partly_cloudy_day,cloudy
2016/3/21,17,6,partly_cloudy_day,cloudy
2016/3/22,16,9,partly_cloudy_day,cloudy
2016/3/23,14,4,partly_cloudy_day,cloudy
2016/3/24,12,3,partly_cloudy_day,cloudy
2016/3/25,15,3,partly_cloudy_day,cloudy
2016/3/26,15,5,cloudy,cloudy
2016/3/27,18,7,clear_day,clear_day
2016/3/28,20,9,partly_cloudy_day,cloudy
2016/3/29,20,13,partly_cloudy_day,cloudy
2016/3/30,21,12,cloudy,cloudy
2016/3/31,20,10,partly_cloudy_day,cloudy
2016/4/1,24,14,partly_cloudy_day,cloudy
2016/4/2,19,13,rain,rain
2016/4/3,14,9,rain,rain
2016/4/4,18,10,partly_cloudy_day,cloudy
2016/4/5,16,11,rain,rain
2016/4/6,14,12,rain,rain
2016/4/7,20,10,cloudy,cloudy
2016/4/8,23,13,partly_cloudy_day,cloudy
2016/4/9,25,13,partly_cloudy_day,cloudy
2016/4/10,26,11,partly_cloudy_day,cloudy
2016/4/11,21,12,partly_cloudy_day,cloudy
2016/4/12,23,14,partly_cloudy_day,cloudy
2016/4/13,27,16,partly_cloudy_day,cloudy
2016/4/14,27,15,partly_cloudy_day,cloudy
2016/4/15,25,16,partly_cloudy_day,cloudy
2016/4/16,20,12,rain,rain
2016/4/17,20,11,cloudy,cloudy
